config,workload,total_energy,nrh,baseline_energy,ramulator.hydra_baseline_energy,normalized_energy
REGA,435.gromacs,2564216.9638125,250,2400167.3835,2400167.3835,1.0683492249083384
REGA,435.gromacs,2451525.899625,500,2400167.3835,2400167.3835,1.0213978893630775
REGA,435.gromacs,2416131.7485,1000,2400167.3835,2400167.3835,1.0066513548637264
Graphene,435.gromacs,2403939.5169375003,125,2400167.3835,2400167.3835,1.0015716126564471
Graphene,435.gromacs,2400354.314625,250,2400167.3835,2400167.3835,1.0000778825369785
Graphene,435.gromacs,2400167.3835,500,2400167.3835,2400167.3835,1.0
Graphene,435.gromacs,2400167.3835,1000,2400167.3835,2400167.3835,1.0
Hydra,435.gromacs,2416232.3364375,125,2400167.3835,2400167.3835,1.0066932635815065
Hydra,435.gromacs,2410230.307875,250,2400167.3835,2400167.3835,1.0041925927517297
Hydra,435.gromacs,2404476.915,500,2400167.3835,2400167.3835,1.0017955129003193
Hydra,435.gromacs,2400167.3835,1000,2400167.3835,2400167.3835,1.0
PARA,435.gromacs,2556244.9513125,125,2400167.3835,2400167.3835,1.0650277846809595
PARA,435.gromacs,2458679.5064999997,250,2400167.3835,2400167.3835,1.0243783510276168
PARA,435.gromacs,2426955.3187500006,500,2400167.3835,2400167.3835,1.0111608612941558
PARA,435.gromacs,2411012.8389375,1000,2400167.3835,2400167.3835,1.0045186246226232
ABACuS,435.gromacs,2402735.6758125005,125,2400167.3835,2400167.3835,1.0010700471684417
ABACuS,435.gromacs,2398188.9538124995,250,2400167.3835,2400167.3835,0.9991757117853108
ABACuS,435.gromacs,2400048.8750625,500,2400167.3835,2400167.3835,0.9999506249279468
ABACuS,435.gromacs,2400167.3835,1000,2400167.3835,2400167.3835,1.0
Baseline,ycsb_bserver,4725096.3476249995,,4725096.3476249995,4725096.3476249995,1.0
Hydra-Baseline,ycsb_bserver,4725096.3476249995,,4725096.3476249995,4725096.3476249995,1.0
REGA,ycsb_bserver,7008732.607875,125,4725096.3476249995,4725096.3476249995,1.4832994064550318
REGA,ycsb_bserver,5432463.790124998,250,4725096.3476249995,4725096.3476249995,1.1497043426120923
REGA,ycsb_bserver,4952147.8816875,500,4725096.3476249995,4725096.3476249995,1.0480522548871674
REGA,ycsb_bserver,4793340.137625,1000,4725096.3476249995,4725096.3476249995,1.01444283565441
Graphene,ycsb_bserver,4725609.596062499,125,4725096.3476249995,4725096.3476249995,1.000108621793026
Graphene,ycsb_bserver,4725096.3476249995,250,4725096.3476249995,4725096.3476249995,1.0
Graphene,ycsb_bserver,4725096.3476249995,500,4725096.3476249995,4725096.3476249995,1.0
Graphene,ycsb_bserver,4725096.3476249995,1000,4725096.3476249995,4725096.3476249995,1.0
Hydra,ycsb_bserver,4835535.028125,125,4725096.3476249995,4725096.3476249995,1.023372789119001
Hydra,ycsb_bserver,4739337.061125,250,4725096.3476249995,4725096.3476249995,1.0030138461636149
Hydra,ycsb_bserver,4725130.59825,500,4725096.3476249995,4725096.3476249995,1.0000072486617162
Hydra,ycsb_bserver,4725096.3476249995,1000,4725096.3476249995,4725096.3476249995,1.0
PARA,ycsb_bserver,5878167.552749999,125,4725096.3476249995,4725096.3476249995,1.2440312578397632
PARA,ycsb_bserver,5183059.452749999,250,4725096.3476249995,4725096.3476249995,1.0969214321640632
PARA,ycsb_bserver,4933777.4257499995,500,4725096.3476249995,4725096.3476249995,1.0441644069818576
PARA,ycsb_bserver,4825361.45625,1000,4725096.3476249995,4725096.3476249995,1.0212196961180267
ABACuS,ycsb_bserver,4729227.4854375,125,4725096.3476249995,4725096.3476249995,1.0008742970531337
ABACuS,ycsb_bserver,4725038.2935,250,4725096.3476249995,4725096.3476249995,0.9999877136632296
ABACuS,ycsb_bserver,4725096.3476249995,500,4725096.3476249995,4725096.3476249995,1.0
ABACuS,ycsb_bserver,4725096.3476249995,1000,4725096.3476249995,4725096.3476249995,1.0
Baseline,458.sjeng,2265411.357,,2265411.357,2265411.357,1.0
Hydra-Baseline,458.sjeng,2265411.357,,2265411.357,2265411.357,1.0
REGA,458.sjeng,2762093.5140000004,125,2265411.357,2265411.357,1.2192459022796365
REGA,458.sjeng,2418111.5049375,250,2265411.357,2265411.357,1.0674050421199068
REGA,458.sjeng,2310569.6544374996,500,2265411.357,2265411.357,1.0199338178904962
REGA,458.sjeng,2279912.4569999995,1000,2265411.357,2265411.357,1.0064010891245831
Graphene,458.sjeng,2265411.357,125,2265411.357,2265411.357,1.0
Graphene,458.sjeng,2265411.357,250,2265411.357,2265411.357,1.0
Graphene,458.sjeng,2265411.357,500,2265411.357,2265411.357,1.0
Graphene,458.sjeng,2265411.357,1000,2265411.357,2265411.357,1.0
Hydra,458.sjeng,2264949.7385625,125,2265411.357,2265411.357,0.9997962319575765
Hydra,458.sjeng,2265411.357,250,2265411.357,2265411.357,1.0
Hydra,458.sjeng,2265411.357,500,2265411.357,2265411.357,1.0
Hydra,458.sjeng,2265411.357,1000,2265411.357,2265411.357,1.0
PARA,458.sjeng,2391416.1163125,125,2265411.357,2265411.357,1.0556211387054066
PARA,458.sjeng,2312968.6959375,250,2265411.357,2265411.357,1.020992805033201
PARA,458.sjeng,2287284.41775,500,2265411.357,2265411.357,1.009655226933693
PARA,458.sjeng,2278828.73775,1000,2265411.357,2265411.357,1.0059227127596677
ABACuS,458.sjeng,2265407.6960624997,125,2265411.357,2265411.357,0.9999983839855446
ABACuS,458.sjeng,2265411.357,250,2265411.357,2265411.357,1.0
ABACuS,458.sjeng,2265411.357,500,2265411.357,2265411.357,1.0
ABACuS,458.sjeng,2265411.357,1000,2265411.357,2265411.357,1.0
Baseline,h264_encode,2871822.0375,,2871822.0375,2871822.0375,1.0
Hydra-Baseline,h264_encode,2871822.0375,,2871822.0375,2871822.0375,1.0
REGA,h264_encode,2874177.9646874997,125,2871822.0375,2871822.0375,1.000820359742608
REGA,h264_encode,2872806.2184375,250,2871822.0375,2871822.0375,1.0003427026203742
REGA,h264_encode,2872150.5084375,500,2871822.0375,2871822.0375,1.0001143771909298
REGA,h264_encode,2871828.4875,1000,2871822.0375,2871822.0375,1.000002245960897
Graphene,h264_encode,2871822.0375,125,2871822.0375,2871822.0375,1.0
Graphene,h264_encode,2871822.0375,250,2871822.0375,2871822.0375,1.0
Graphene,h264_encode,2871822.0375,500,2871822.0375,2871822.0375,1.0
Graphene,h264_encode,2871822.0375,1000,2871822.0375,2871822.0375,1.0
Hydra,h264_encode,2871822.0375,125,2871822.0375,2871822.0375,1.0
Hydra,h264_encode,2871822.0375,250,2871822.0375,2871822.0375,1.0
Hydra,h264_encode,2871822.0375,500,2871822.0375,2871822.0375,1.0
Hydra,h264_encode,2871822.0375,1000,2871822.0375,2871822.0375,1.0
PARA,h264_encode,2871822.0375,125,2871822.0375,2871822.0375,1.0
PARA,h264_encode,2871822.0375,250,2871822.0375,2871822.0375,1.0
PARA,h264_encode,2871822.0375,500,2871822.0375,2871822.0375,1.0
PARA,h264_encode,2871822.0375,1000,2871822.0375,2871822.0375,1.0
ABACuS,h264_encode,2871822.0375,125,2871822.0375,2871822.0375,1.0
ABACuS,h264_encode,2871822.0375,250,2871822.0375,2871822.0375,1.0
ABACuS,h264_encode,2871822.0375,500,2871822.0375,2871822.0375,1.0
ABACuS,h264_encode,2871822.0375,1000,2871822.0375,2871822.0375,1.0
Baseline,544.nab,2586793.9580624998,,2586793.9580624998,2586793.9580624998,1.0
Hydra-Baseline,544.nab,2586793.9580624998,,2586793.9580624998,2586793.9580624998,1.0
REGA,544.nab,2812125.4678125004,125,2586793.9580624998,2586793.9580624998,1.0871084104119269
REGA,544.nab,2655913.1773125003,250,2586793.9580624998,2586793.9580624998,1.026720032739589
REGA,544.nab,2609132.2633125,500,2586793.9580624998,2586793.9580624998,1.0086355177923532
REGA,544.nab,2592345.3080625003,1000,2586793.9580624998,2586793.9580624998,1.0021460348562738
Graphene,544.nab,2586793.9580624998,125,2586793.9580624998,2586793.9580624998,1.0
Graphene,544.nab,2586793.9580624998,250,2586793.9580624998,2586793.9580624998,1.0
Graphene,544.nab,2586793.9580624998,500,2586793.9580624998,2586793.9580624998,1.0
Graphene,544.nab,2586793.9580624998,1000,2586793.9580624998,2586793.9580624998,1.0
Hydra,544.nab,2586793.9580624998,125,2586793.9580624998,2586793.9580624998,1.0
Hydra,544.nab,2586793.9580624998,250,2586793.9580624998,2586793.9580624998,1.0
Hydra,544.nab,2586793.9580624998,500,2586793.9580624998,2586793.9580624998,1.0
Hydra,544.nab,2586793.9580624998,1000,2586793.9580624998,2586793.9580624998,1.0
PARA,544.nab,2599875.0013125,125,2586793.9580624998,2586793.9580624998,1.0050568554983783
PARA,544.nab,2592442.437,250,2586793.9580624998,2586793.9580624998,1.0021835828554861
PARA,544.nab,2591376.0181874996,500,2586793.9580624998,2586793.9580624998,1.0017713278286886
PARA,544.nab,2587566.1454999996,1000,2586793.9580624998,2586793.9580624998,1.0002985113812768
ABACuS,544.nab,2586793.9580624998,125,2586793.9580624998,2586793.9580624998,1.0
ABACuS,544.nab,2586793.9580624998,250,2586793.9580624998,2586793.9580624998,1.0
ABACuS,544.nab,2586793.9580624998,500,2586793.9580624998,2586793.9580624998,1.0
ABACuS,544.nab,2586793.9580624998,1000,2586793.9580624998,2586793.9580624998,1.0
Baseline,523.xalancbmk,3693302.624999999,,3693302.624999999,3693302.624999999,1.0
Hydra-Baseline,523.xalancbmk,3693302.624999999,,3693302.624999999,3693302.624999999,1.0
REGA,523.xalancbmk,5345129.110874999,125,3693302.624999999,3693302.624999999,1.4472491570806496
REGA,523.xalancbmk,4204439.147624999,250,3693302.624999999,3693302.624999999,1.1383955160254435
REGA,523.xalancbmk,3850214.5725,500,3693302.624999999,3693302.624999999,1.0424855375884614
REGA,523.xalancbmk,3744270.1499999994,1000,3693302.624999999,3693302.624999999,1.0137999861303
Graphene,523.xalancbmk,3693447.3789374996,125,3693302.624999999,3693302.624999999,1.000039193630254
Graphene,523.xalancbmk,3692752.0259999996,250,3693302.624999999,3693302.624999999,0.9998509196088421
Graphene,523.xalancbmk,3694417.1720624994,500,3693302.624999999,3693302.624999999,1.0003017751794712
Graphene,523.xalancbmk,3693302.624999999,1000,3693302.624999999,3693302.624999999,1.0
Hydra,523.xalancbmk,3724550.4120000005,125,3693302.624999999,3693302.624999999,1.0084606624944528
Hydra,523.xalancbmk,3716179.338937499,250,3693302.624999999,3693302.624999999,1.0061941076213596
Hydra,523.xalancbmk,3700182.137625,500,3693302.624999999,3693302.624999999,1.001862699411208
Hydra,523.xalancbmk,3694674.2143124994,1000,3693302.624999999,3693302.624999999,1.000371372035212
PARA,523.xalancbmk,4178651.2811249997,125,3693302.624999999,3693302.624999999,1.1314131836475223
PARA,523.xalancbmk,3872214.9358125,250,3693302.624999999,3693302.624999999,1.0484423641868506
PARA,523.xalancbmk,3764293.3605000004,500,3693302.624999999,3693302.624999999,1.0192214780937432
PARA,523.xalancbmk,3727616.4433125,1000,3693302.624999999,3693302.624999999,1.0092908222792876
ABACuS,523.xalancbmk,3700723.066875,125,3693302.624999999,3693302.624999999,1.0020091616172397
ABACuS,523.xalancbmk,3688105.8226874997,250,3693302.624999999,3693302.624999999,0.9985929118623201
ABACuS,523.xalancbmk,3692076.844687499,500,3693302.624999999,3693302.624999999,0.999668107264159
ABACuS,523.xalancbmk,3689439.7229999993,1000,3693302.624999999,3693302.624999999,0.9989540792097967
Baseline,462.libquantum,9252685.5226875,,9252685.5226875,9252685.5226875,1.0
Hydra-Baseline,462.libquantum,9252685.5226875,,9252685.5226875,9252685.5226875,1.0
REGA,462.libquantum,18445604.344125,125,9252685.5226875,9252685.5226875,1.9935406103337832
REGA,462.libquantum,12153270.059999999,250,9252685.5226875,9252685.5226875,1.3134856934454642
REGA,462.libquantum,10193462.901937498,500,9252685.5226875,9252685.5226875,1.1016761433146323
REGA,462.libquantum,9545048.9326875,1000,9252685.5226875,9252685.5226875,1.0315976814821088
Graphene,462.libquantum,9356311.752375,125,9252685.5226875,9252685.5226875,1.0111995841027352
Graphene,462.libquantum,9301900.71225,250,9252685.5226875,9252685.5226875,1.0053190167807848
Graphene,462.libquantum,9273205.155749999,500,9252685.5226875,9252685.5226875,1.0022176948532602
Graphene,462.libquantum,9255347.9615625,1000,9252685.5226875,9252685.5226875,1.0002877476888705
Hydra,462.libquantum,9439676.564624999,125,9252685.5226875,9252685.5226875,1.0202093804527343
Hydra,462.libquantum,9389834.227500001,250,9252685.5226875,9252685.5226875,1.014822583613829
Hydra,462.libquantum,9370675.369875,500,9252685.5226875,9252685.5226875,1.0127519569208518
Hydra,462.libquantum,9338847.135374999,1000,9252685.5226875,9252685.5226875,1.0093120653972547
PARA,462.libquantum,12633523.564875001,125,9252685.5226875,9252685.5226875,1.3653899220823746
PARA,462.libquantum,10539207.804562502,250,9252685.5226875,9252685.5226875,1.1390431219909571
PARA,462.libquantum,9842903.069437498,500,9252685.5226875,9252685.5226875,1.063788782759642
PARA,462.libquantum,9536575.6509375,1000,9252685.5226875,9252685.5226875,1.0306819168936308
ABACuS,462.libquantum,9294094.403812502,125,9252685.5226875,9252685.5226875,1.004475336487279
ABACuS,462.libquantum,9271440.5349375,250,9252685.5226875,9252685.5226875,1.0020269804052035
ABACuS,462.libquantum,9261165.997125,500,9252685.5226875,9252685.5226875,1.0009165419506267
ABACuS,462.libquantum,9254030.152312502,1000,9252685.5226875,9252685.5226875,1.0001453231736563
Baseline,ycsb_abgsave,3399676.5729375,,3399676.5729375,3399676.5729375,1.0
Hydra-Baseline,ycsb_abgsave,3399676.5729375,,3399676.5729375,3399676.5729375,1.0
REGA,ycsb_abgsave,4587283.3344375,125,3399676.5729375,3399676.5729375,1.3493293364885721
REGA,ycsb_abgsave,3765275.6334374994,250,3399676.5729375,3399676.5729375,1.107539365188525
REGA,ycsb_abgsave,3515191.608,500,3399676.5729375,3399676.5729375,1.0339782425134307
REGA,ycsb_abgsave,3434733.3879375,1000,3399676.5729375,3399676.5729375,1.0103118088582494
Graphene,ycsb_abgsave,3399676.5729375,125,3399676.5729375,3399676.5729375,1.0
Graphene,ycsb_abgsave,3399676.5729375,250,3399676.5729375,3399676.5729375,1.0
Graphene,ycsb_abgsave,3399676.5729375,500,3399676.5729375,3399676.5729375,1.0
Graphene,ycsb_abgsave,3399676.5729375,1000,3399676.5729375,3399676.5729375,1.0
Hydra,ycsb_abgsave,3446966.6926875,125,3399676.5729375,3399676.5729375,1.0139101819644973
Hydra,ycsb_abgsave,3401956.4315624996,250,3399676.5729375,3399676.5729375,1.0006706104466372
Hydra,ycsb_abgsave,3399676.5729375,500,3399676.5729375,3399676.5729375,1.0
Hydra,ycsb_abgsave,3399676.5729375,1000,3399676.5729375,3399676.5729375,1.0
PARA,ycsb_abgsave,3842159.7969375,125,3399676.5729375,3399676.5729375,1.1301545057321942
PARA,ycsb_abgsave,3569843.203125,250,3399676.5729375,3399676.5729375,1.0500537702739372
PARA,ycsb_abgsave,3475525.0143750003,500,3399676.5729375,3399676.5729375,1.022310487427327
PARA,ycsb_abgsave,3434455.0156875,1000,3399676.5729375,3399676.5729375,1.010229926878
ABACuS,ycsb_abgsave,3401750.628375,125,3399676.5729375,3399676.5729375,1.0006100743388384
ABACuS,ycsb_abgsave,3399716.3698124997,250,3399676.5729375,3399676.5729375,1.0000117060767828
ABACuS,ycsb_abgsave,3399676.5729375,500,3399676.5729375,3399676.5729375,1.0
ABACuS,ycsb_abgsave,3399676.5729375,1000,3399676.5729375,3399676.5729375,1.0
Baseline,434.zeusmp,16218872.6505,,16218872.6505,16218872.6505,1.0
Hydra-Baseline,434.zeusmp,16218872.6505,,16218872.6505,16218872.6505,1.0
REGA,434.zeusmp,41207035.9531875,125,16218872.6505,16218872.6505,2.5406843521838223
REGA,434.zeusmp,24140192.406187497,250,16218872.6505,16218872.6505,1.4884013782205323
REGA,434.zeusmp,18685616.1245625,500,16218872.6505,16218872.6505,1.1520909330271147
REGA,434.zeusmp,16963348.480499998,1000,16218872.6505,16218872.6505,1.0459018235140436
Graphene,434.zeusmp,16498716.6285,125,16218872.6505,16218872.6505,1.0172542188369285
Graphene,434.zeusmp,16312218.959624996,250,16218872.6505,16218872.6505,1.0057554129153434
Graphene,434.zeusmp,16246721.650125,500,16218872.6505,16218872.6505,1.001717073697113
Graphene,434.zeusmp,16218864.998625,1000,16218872.6505,16218872.6505,0.9999995282116603
Hydra,434.zeusmp,17028943.37475,125,16218872.6505,16218872.6505,1.049946179472901
Hydra,434.zeusmp,16877278.8770625,250,16218872.6505,16218872.6505,1.0405950672867637
Hydra,434.zeusmp,16686844.4724375,500,16218872.6505,16218872.6505,1.0288535357556479
Hydra,434.zeusmp,16432370.82675,1000,16218872.6505,16218872.6505,1.0131635644998678
PARA,434.zeusmp,27190312.694062497,125,16218872.6505,16218872.6505,1.6764613225583387
PARA,434.zeusmp,20033110.449937504,250,16218872.6505,16218872.6505,1.2351728064971221
PARA,434.zeusmp,17815956.5761875,500,16218872.6505,16218872.6505,1.0984707112573737
PARA,434.zeusmp,16958829.429375,1000,16218872.6505,16218872.6505,1.0456231943378747
ABACuS,434.zeusmp,16558620.5475,125,16218872.6505,16218872.6505,1.0209476888018802
