config,wl0,wl1,wl2,wl3,wl4,wl5,wl6,wl7,ipc0,ipc1,ipc2,ipc3,ipc4,ipc5,ipc6,ipc7,nrh
PARA,541.leela,541.leela,541.leela,541.leela,541.leela,541.leela,541.leela,541.leela,3.4366868798842196,3.4367284544619734,3.43671286387744,3.43674735232984,3.436673179391453,3.4366968009988965,3.436696328563565,3.4367161709593086,250
PARA,401.bzip2,401.bzip2,401.bzip2,401.bzip2,401.bzip2,401.bzip2,401.bzip2,401.bzip2,2.153502335602493,2.153513836843245,2.1535902675637777,2.153092452239673,2.153092452239673,2.153110068450814,2.1531152606522577,2.1531024656295945,250
PARA,ycsb_bserver,ycsb_bserver,ycsb_bserver,ycsb_bserver,ycsb_bserver,ycsb_bserver,ycsb_bserver,ycsb_bserver,1.3641092383043183,1.356891281745557,1.3340689567436679,1.364046346366396,1.356946076699803,1.36113548753532,1.3611560897578994,1.356939153437143,250
PARA,531.deepsjeng,531.deepsjeng,531.deepsjeng,531.deepsjeng,531.deepsjeng,531.deepsjeng,531.deepsjeng,531.deepsjeng,3.1772074760962794,3.1768905357889428,3.176884883924251,3.176869543250029,3.176532085896477,3.176540561818211,3.177068579821116,3.17659303281662,250
PARA,450.soplex,450.soplex,450.soplex,450.soplex,450.soplex,450.soplex,450.soplex,450.soplex,0.17384187412666188,0.18558569423514193,0.17674936606895617,0.1843238901648444,0.1759235516747039,0.17436734592303235,0.18159409074814573,0.17214458272015434,250
PARA,grep_map0,grep_map0,grep_map0,grep_map0,grep_map0,grep_map0,grep_map0,grep_map0,0.044918713470047174,0.044922836394323595,0.04483875486042014,0.04456879439166686,0.04353197091811509,0.04111950848779108,0.03615347414127173,0.03183824679072128,250
PARA,511.povray,511.povray,511.povray,511.povray,511.povray,511.povray,511.povray,511.povray,3.0501106336129022,3.0458316027933443,3.0461864000449372,3.0464774251757727,3.045884297577048,3.046553902739132,3.0466793936620538,3.0463578902679953,250
PARA,456.hmmer,456.hmmer,456.hmmer,456.hmmer,456.hmmer,456.hmmer,456.hmmer,456.hmmer,2.813830132676593,2.812258883953937,2.805126829321385,2.811510278094354,2.8152953419362,2.805114868892858,2.8013489503681646,2.8050635661064844,250
PARA,436.cactusADM,436.cactusADM,436.cactusADM,436.cactusADM,436.cactusADM,436.cactusADM,436.cactusADM,436.cactusADM,0.6881773471561553,0.6898448083728396,0.6878840181319623,0.6865707179511192,0.6820457060653097,0.6885095684653364,0.688503443852916,0.6898575813858102,250
PARA,tpch6,tpch6,tpch6,tpch6,tpch6,tpch6,tpch6,tpch6,2.4726355891979055,2.472653686553561,2.472621160414957,2.472629719842151,2.4726253178436215,2.4726434150489234,2.4726113782850128,2.4605570248361737,250
PARA,gups,gups,gups,gups,gups,gups,gups,gups,0.08196018173732676,0.0819257452572039,0.08194024107395784,0.08197174709302774,0.08183316502433506,0.0819518085929887,0.08195993641600587,0.08189188010300243,250
PARA,wc_8443,wc_8443,wc_8443,wc_8443,wc_8443,wc_8443,wc_8443,wc_8443,0.4593163737192767,0.4597653714322138,0.45704576913005746,0.47775684523319256,0.4528579657906383,0.4506362343725888,0.4377730171421407,0.39966206494166445,250
PARA,447.dealII,447.dealII,447.dealII,447.dealII,447.dealII,447.dealII,447.dealII,447.dealII,3.5326826131959828,3.532692597101355,3.5326326945155877,3.53270258106316,3.532663144742818,3.532652661818454,3.532672629347042,3.5326431773214484,250
PARA,458.sjeng,458.sjeng,458.sjeng,458.sjeng,458.sjeng,458.sjeng,458.sjeng,458.sjeng,3.317530387914847,3.31752510503948,3.3176237214873465,3.3175092565143274,3.3175832175939135,3.317633407347523,3.3176017083790943,3.3174894460708253,250
PARA,ycsb_dserver,ycsb_dserver,ycsb_dserver,ycsb_dserver,ycsb_dserver,ycsb_dserver,ycsb_dserver,ycsb_dserver,1.6271967318599783,1.6243648489785767,1.6265855386525847,1.6229145142762922,1.6272020274156205,1.6272045692945716,1.6229220998041263,1.6229000808983232,250
PARA,525.x264,525.x264,525.x264,525.x264,525.x264,525.x264,525.x264,525.x264,3.214127349639587,3.214129415763839,3.214087680569053,3.2141095810806712,3.2140934655808517,3.214100903483764,3.2141149529498567,3.214125696742098,250
PARA,403.gcc,403.gcc,403.gcc,403.gcc,403.gcc,403.gcc,403.gcc,403.gcc,3.6047306177599885,3.605024307957904,3.6047519281818063,3.6049395747238364,3.604564301173747,3.60501391102768,3.6046562931387243,3.6048454891126456,250
PARA,h264_decode,h264_decode,h264_decode,h264_decode,h264_decode,h264_decode,h264_decode,h264_decode,0.02142154799459398,0.021409707879377196,0.021414035526191588,0.02139580783241883,0.020906083035370986,0.019954967242288957,0.017849455007623798,0.010859363963933824,250
PARA,470.lbm,470.lbm,470.lbm,470.lbm,470.lbm,470.lbm,470.lbm,470.lbm,0.10474113513347649,0.1051062535092876,0.10465711651500643,0.1050659294591048,0.10507067902842539,0.10489614549420978,0.10507843443136164,0.1043936942433801,250
PARA,434.zeusmp,434.zeusmp,434.zeusmp,434.zeusmp,434.zeusmp,434.zeusmp,434.zeusmp,434.zeusmp,0.11072345402753773,0.11080191909455721,0.11090288921146053,0.1107094444535423,0.11071773983888275,0.11083736596985978,0.11066997909882348,0.11057444956901485,250
PARA,500.perlbench,500.perlbench,500.perlbench,500.perlbench,500.perlbench,500.perlbench,500.perlbench,500.perlbench,1.7347717227768171,1.7347629352771745,1.7347559534916093,1.7347771397730065,1.734764740920519,1.7347766582608641,1.7347700374960136,1.7347693152338144,250
PARA,bfs_dblp,bfs_dblp,bfs_dblp,bfs_dblp,bfs_dblp,bfs_dblp,bfs_dblp,bfs_dblp,0.020188921972044627,0.020186946352254202,0.020183564448548155,0.020057044963634692,0.019351297686876535,0.018022476486444387,0.013519327350431804,0.0020913660507407934,250
PARA,549.fotonik3d,549.fotonik3d,549.fotonik3d,549.fotonik3d,549.fotonik3d,549.fotonik3d,549.fotonik3d,549.fotonik3d,0.15483538137601882,0.15478916564008427,0.15485393563569255,0.15473792708851622,0.15481373684332486,0.1547997517532109,0.15487523737185568,0.1548048023521017,250
PARA,526.blender,526.blender,526.blender,526.blender,526.blender,526.blender,526.blender,526.blender,2.883564214552864,2.8837065733975993,2.9229397337763108,2.8835735273186294,2.9066891171582907,2.8837155544502595,2.883591487822478,2.922931190224596,250
PARA,507.cactuBSSN,507.cactuBSSN,507.cactuBSSN,507.cactuBSSN,507.cactuBSSN,507.cactuBSSN,507.cactuBSSN,507.cactuBSSN,1.1955447880009769,1.192386052250166,1.1927221430678798,1.1941702138696757,1.1909563727432388,1.1903237723512452,1.1897037894540279,1.1909114402525685,250
PARA,tpcc64,tpcc64,tpcc64,tpcc64,tpcc64,tpcc64,tpcc64,tpcc64,0.9390568270990164,0.9410192118858707,0.9417366731735648,0.9335959003339324,0.9363251694018223,0.9414798353283982,0.9462188508066081,0.9450665334400074,250
PARA,459.GemsFDTD,459.GemsFDTD,459.GemsFDTD,459.GemsFDTD,459.GemsFDTD,459.GemsFDTD,459.GemsFDTD,459.GemsFDTD,0.34433156827135003,0.34243589582908285,0.34313024629847905,0.3429649553607103,0.34416471547070093,0.3443946939522776,0.34362752513655964,0.3419968429587433,250
PARA,471.omnetpp,471.omnetpp,471.omnetpp,471.omnetpp,471.omnetpp,471.omnetpp,471.omnetpp,471.omnetpp,0.42870871580081255,0.42890952446955427,0.42870277575272875,0.4290499344789264,0.4287031139193642,0.42861369478017614,0.4285113414868072,0.42883687124323894,250
PARA,557.xz,557.xz,557.xz,557.xz,557.xz,557.xz,557.xz,557.xz,1.0438843118969323,1.043261509229672,1.0446105096592,1.0434163019022398,1.0436379247668972,1.0426728024763563,1.0427589566737825,1.043635702844187,250
PARA,544.nab,544.nab,544.nab,544.nab,544.nab,544.nab,544.nab,544.nab,2.714121672771812,2.714163514889521,2.714184436432172,2.7141308072085577,2.7141785430072445,2.714514214336522,2.714206537003592,2.7142253964424756,250
PARA,433.milc,433.milc,433.milc,433.milc,433.milc,433.milc,433.milc,433.milc,0.18764957735460513,0.1877390227529032,0.18781252661773035,0.18799140954454946,0.18767108330542978,0.18798723801261968,0.18770253056121922,0.18767148059278335,250
PARA,481.wrf,481.wrf,481.wrf,481.wrf,481.wrf,481.wrf,481.wrf,481.wrf,3.605360161058649,3.605380958973649,3.6053913580211305,3.6053497621911297,3.6054017571286003,3.6053393633835964,3.605412156296059,3.6053705599861554,250
PARA,ycsb_eserver,ycsb_eserver,ycsb_eserver,ycsb_eserver,ycsb_eserver,ycsb_eserver,ycsb_eserver,ycsb_eserver,1.1191540985661397,1.1259788359216434,1.149054948267248,1.1286481463331148,1.1469718749650173,1.1325378719531842,1.1394805819062972,1.149038787688702,250
PARA,482.sphinx3,482.sphinx3,482.sphinx3,482.sphinx3,482.sphinx3,482.sphinx3,482.sphinx3,482.sphinx3,0.3733566706142912,0.38076594054144886,0.3800274708177665,0.3799139552638249,0.3761946663541542,0.3798298845260936,0.3762975756411561,0.38075932364594295,250
PARA,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,2.6332054367897983,2.633220691174087,2.6334359355086288,2.6331998897847853,2.633345506411828,2.633367142256284,2.6334739397739257,2.633213202636078,500
PARA,462.libquantum,462.libquantum,462.libquantum,462.libquantum,462.libquantum,462.libquantum,462.libquantum,462.libquantum,0.2831647608205807,0.2831291451239363,0.28190041791060394,0.2831020304813691,0.2829199772500651,0.28130521388411817,0.2808638283856399,0.28238336256867114,500
PARA,wc_map0,wc_map0,wc_map0,wc_map0,wc_map0,wc_map0,wc_map0,wc_map0,1.8503165003380158,1.8505748181477137,1.8978423354574492,1.9229310761506857,1.8840391961543292,1.8695009098113127,1.8549933862065808,1.8511969395123622,500
PARA,523.xalancbmk,523.xalancbmk,523.xalancbmk,523.xalancbmk,523.xalancbmk,523.xalancbmk,523.xalancbmk,523.xalancbmk,2.138146317799871,2.137702226630639,2.1380086279765784,2.1376609167008267,2.1379265345160117,2.137625274460397,2.137698022449763,2.1376190600375966,500
PARA,464.h264ref,464.h264ref,464.h264ref,464.h264ref,464.h264ref,464.h264ref,464.h264ref,464.h264ref,2.7651982763302456,2.7653873063191865,2.7651655504615062,2.765065542560608,2.7652368143277317,2.765216015909947,2.765079610513098,2.7649829726818576,500
PARA,ycsb_abgsave,ycsb_abgsave,ycsb_abgsave,ycsb_abgsave,ycsb_abgsave,ycsb_abgsave,ycsb_abgsave,ycsb_abgsave,1.9064908922735797,1.9064712650550222,1.906516771742432,1.8856744257895093,1.906532038050719,1.906543815084163,1.8856566471169327,1.9065625714007683,500
PARA,505.mcf,505.mcf,505.mcf,505.mcf,505.mcf,505.mcf,505.mcf,505.mcf,0.7140297652161599,0.7424153217417159,0.7135377839805459,0.7133819816090696,0.7143824416683162,0.7134390252345381,0.6988543708253235,0.7388189577043582,500
PARA,bfs_ny,bfs_ny,bfs_ny,bfs_ny,bfs_ny,bfs_ny,bfs_ny,bfs_ny,0.027592962445390935,0.02761880293539222,0.02762392143641828,0.027387434982900343,0.026358085377693144,0.024167323987267175,0.0138968446703328,0.002227293897134272,500
PARA,444.namd,444.namd,444.namd,444.namd,444.namd,444.namd,444.namd,444.namd,3.6506193713837876,3.6481369037795135,3.650608709797489,3.6473811147067803,3.6473917574490318,3.650640694743209,3.650630033032361,3.6474024002533922,500
PARA,tpch17,tpch17,tpch17,tpch17,tpch17,tpch17,tpch17,tpch17,0.5493030947692416,0.554571696071463,0.5491289409226877,0.5496021309261757,0.5500637072784496,0.5494510324844242,0.5494894605503713,0.555049880445586,500
PARA,437.leslie3d,437.leslie3d,437.leslie3d,437.leslie3d,437.leslie3d,437.leslie3d,437.leslie3d,437.leslie3d,0.17854058951046042,0.17794541406267872,0.17852009129374652,0.1785061170083463,0.1781162588332751,0.1784073422414165,0.17853960771220262,0.1784567917524809,500
PARA,tpch2,tpch2,tpch2,tpch2,tpch2,tpch2,tpch2,tpch2,0.5429633663485466,0.5415264699763104,0.5422907149374238,0.5418096168129506,0.5426563017287119,0.5416966793711873,0.5422821750113771,0.5421182276585164,500
PARA,429.mcf,429.mcf,429.mcf,429.mcf,429.mcf,429.mcf,429.mcf,429.mcf,0.08265949205199888,0.08257794524819963,0.08251541223694916,0.08235280596285176,0.08235039788615883,0.0820444309121454,0.08156588276350353,0.080246271312868,500
PARA,473.astar,473.astar,473.astar,473.astar,473.astar,473.astar,473.astar,473.astar,0.5529024959323516,0.5540534427983369,0.5537563274136117,0.5494298039471829,0.5527963401875068,0.5523710261157928,0.5483776816600875,0.5523300340745654,500
PARA,ycsb_aserver,ycsb_aserver,ycsb_aserver,ycsb_aserver,ycsb_aserver,ycsb_aserver,ycsb_aserver,ycsb_aserver,1.3043792446131093,1.2949964651776487,1.3030833819600616,1.3025565276969107,1.302055325580757,1.3088907240118568,1.2972764511165735,1.3062184672330917,500
PARA,445.gobmk,445.gobmk,445.gobmk,445.gobmk,445.gobmk,445.gobmk,445.gobmk,445.gobmk,3.3123550844650547,3.3123392852978775,3.312413016034199,3.3124046772743996,3.312395899677863,3.31238404999633,3.3123770280028353,3.312345868265885,500
PARA,510.parest,510.parest,510.parest,510.parest,510.parest,510.parest,510.parest,510.parest,0.3859469967565323,0.3854016930079731,0.38607108643523175,0.38340469875033995,0.3810521309646909,0.38550873289848564,0.38542033201402415,0.3853389088071427,500
PARA,538.imagick,538.imagick,538.imagick,538.imagick,538.imagick,538.imagick,538.imagick,538.imagick,3.92221586997572,3.9222041783398,3.9221912560864562,3.9221789492576726,3.92216664250612,3.922154335831798,3.9221420292347053,3.9221297227148417,500
PARA,520.omnetpp,520.omnetpp,520.omnetpp,520.omnetpp,520.omnetpp,520.omnetpp,520.omnetpp,520.omnetpp,0.386498584101087,0.38639248091360245,0.3864457641687518,0.3863087183650438,0.38636926330508925,0.3864664996925273,0.3865213332023696,0.3864313025925274,500
