config,wl0,wl1,wl2,wl3,wl4,wl5,wl6,wl7,ipc0,ipc1,ipc2,ipc3,ipc4,ipc5,ipc6,ipc7,nrh,workload,ramulator.baseline_ipc,normalized_ipc0,normalized_ipc1,normalized_ipc2,normalized_ipc3,normalized_ipc4,normalized_ipc5,normalized_ipc6,normalized_ipc7,weighted_speedup,baseline_weighted_speedup,normalized_weighted_speedup
REGA,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,2.4673381181928,2.467334709053372,2.4807205838385817,2.466408746082726,2.4674530604067053,2.467521007980358,2.4665442866053424,2.467388282333569,125,502.gcc,2.93202888541033,0.8415122137678062,0.8415110510441219,0.8460764476716304,0.8411952414096217,0.8415514160466369,0.841574590297747,0.8412414689632759,0.8415293227877817,6.736191751988622,7.378245747569529,0.9129801286718586
REGA,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,2.632743451366594,2.632746778413077,2.6341126864978124,2.632803062223773,2.6341273963052045,2.6318437939649506,2.632895949637124,2.632910645858247,250,502.gcc,2.93202888541033,0.8979254824081135,0.8979266171331157,0.8983924747825857,0.8979458133323672,0.8983974917206743,0.8976186445709695,0.8979774935841592,0.8979825058885046,7.1841665234204894,7.378245747569529,0.9736957495332856
REGA,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,2.6970770373666,2.6970755825224755,2.695185611503656,2.697286551307677,2.697026118756101,2.6970371752052524,2.6970968234025148,2.6970886761760977,500,502.gcc,2.93202888541033,0.919867144142801,0.9198666479525582,0.9192220530005017,0.9199386011267753,0.9198497778028061,0.9198535487237566,0.9198738923832475,0.9198711136840138,7.358342778816461,7.378245747569529,0.9973024795548964
REGA,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,2.7042700098943837,2.703978103401637,2.70412346378746,2.704274105223305,2.703990386773377,2.704309501083022,2.704264744489709,2.7040193408768984,1000,502.gcc,2.93202888541033,0.9223203848197861,0.9222208269695208,0.9222704036931836,0.9223217815757804,0.9222250163456219,0.9223338537145963,0.922318588996866,0.922234891454174,7.378245747569529,7.378245747569529,1.0
Graphene,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,2.7042700098943837,2.703978103401637,2.70412346378746,2.704274105223305,2.703990386773377,2.704309501083022,2.704264744489709,2.7040193408768984,125,502.gcc,2.93202888541033,0.9223203848197861,0.9222208269695208,0.9222704036931836,0.9223217815757804,0.9222250163456219,0.9223338537145963,0.922318588996866,0.922234891454174,7.378245747569529,7.378245747569529,1.0
Graphene,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,2.7042700098943837,2.703978103401637,2.70412346378746,2.704274105223305,2.703990386773377,2.704309501083022,2.704264744489709,2.7040193408768984,250,502.gcc,2.93202888541033,0.9223203848197861,0.9222208269695208,0.9222704036931836,0.9223217815757804,0.9222250163456219,0.9223338537145963,0.922318588996866,0.922234891454174,7.378245747569529,7.378245747569529,1.0
Graphene,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,2.7042700098943837,2.703978103401637,2.70412346378746,2.704274105223305,2.703990386773377,2.704309501083022,2.704264744489709,2.7040193408768984,500,502.gcc,2.93202888541033,0.9223203848197861,0.9222208269695208,0.9222704036931836,0.9223217815757804,0.9222250163456219,0.9223338537145963,0.922318588996866,0.922234891454174,7.378245747569529,7.378245747569529,1.0
Graphene,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,2.7042700098943837,2.703978103401637,2.70412346378746,2.704274105223305,2.703990386773377,2.704309501083022,2.704264744489709,2.7040193408768984,1000,502.gcc,2.93202888541033,0.9223203848197861,0.9222208269695208,0.9222704036931836,0.9223217815757804,0.9222250163456219,0.9223338537145963,0.922318588996866,0.922234891454174,7.378245747569529,7.378245747569529,1.0
Hydra,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,2.693663350910744,2.692498279762849,2.693624460264999,2.693509536262773,2.692496249891223,2.693665672775865,2.6926284879232383,2.6936810552333914,125,502.gcc,2.93202888541033,0.918702869645765,0.9183055095946099,0.9186896055725703,0.918650409505029,0.9183048172850504,0.9187036615428479,0.9183499184887505,0.9187089078955024,7.348415699530125,7.378245747569529,0.9959570270413899
Hydra,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,2.7042700098943837,2.703978103401637,2.70412346378746,2.704274105223305,2.703990386773377,2.704309501083022,2.704264744489709,2.7040193408768984,250,502.gcc,2.93202888541033,0.9223203848197861,0.9222208269695208,0.9222704036931836,0.9223217815757804,0.9222250163456219,0.9223338537145963,0.922318588996866,0.922234891454174,7.378245747569529,7.378245747569529,1.0
